项目,阶段,模块,任务编号,任务名称,负责人岗位,状态,优先级,是否阻塞主链路,预计完成日,产物,当前进度说明
量化系统MVP,第1个月第1周,技术负责人,TL-W1-01,开 MVP 启动会,技术负责人,已完成,P1,是,第1天,启动会纪要,已有启动会纪要
量化系统MVP,第1个月第1周,技术负责人,TL-W1-02,建项目目录结构,技术负责人,已完成,P1,是,第1天,项目目录结构说明,项目骨架已建立
量化系统MVP,第1个月第1周,技术负责人,TL-W1-03,定数据库核心表,技术负责人,已完成,P1,是,第1天,sql/ddl/001_mvp_core_tables.sql,DDL 草案已存在
量化系统MVP,第1个月第1周,技术负责人,TL-W1-04,定 configs 模板,技术负责人,已完成,P1,是,第1天,configs/*.yaml,配置模板已存在
量化系统MVP,第1个月第1周,技术负责人,TL-W1-05,定 run_id 规范,技术负责人,已完成,P1,是,第1天,docs/02_技术规范/run_id规则.md,已出规范
量化系统MVP,第1个月第1周,技术负责人,TL-W1-06,定任务命令格式,技术负责人,已完成,P1,是,第1天,docs/02_技术规范/任务命令格式.md,已出规范
量化系统MVP,第1个月第1周,技术负责人,TL-W1-07,组织第 4 天小联调,技术负责人,未开始,P0,是,第4天,integration_dry_run_notes.md,等待研发/风控产物
量化系统MVP,第1个月第1周,技术负责人,TL-W1-08,组织周五验收,技术负责人,未开始,P0,是,第5天,week1_acceptance_report.md,待主链路样例完成
量化系统MVP,第1个月第1周,数据工程,DE-W1-01,测试 AKShare 股票列表接口,数据工程师,已完成,P1,是,第1天,akshare_probe.md,已交付
量化系统MVP,第1个月第1周,数据工程,DE-W1-02,测试 AKShare/pytdx 日线接口,数据工程师,已完成,P1,是,第1天,data_source_probe.md,已交付
量化系统MVP,第1个月第1周,数据工程,DE-W1-03,拉取股票列表,数据工程师,已完成,P1,是,第2天,dim_stock.csv,已落地
量化系统MVP,第1个月第1周,数据工程,DE-W1-04,拉取交易日历,数据工程师,已完成,P1,是,第2天,dim_trade_calendar.csv,已落地
量化系统MVP,第1个月第1周,数据工程,DE-W1-05,拉取 20-50 只样例股票 3 年日线,数据工程师,已完成,P1,是,第2天,fact_daily_bar.csv,已落地 30 只样例池及日线
量化系统MVP,第1个月第1周,数据工程,DE-W1-06,拉取 1-2 个指数日线,数据工程师,已完成,P2,否,第2天,fact_index_daily_bar.csv,已落地
量化系统MVP,第1个月第1周,数据工程,DE-W1-07,初步识别停牌/涨跌停,数据工程师,已完成,P1,是,第3天,fact_stock_status.csv,已落地
量化系统MVP,第1个月第1周,数据工程,DE-W1-08,输出数据质量报告草案,数据工程师,已完成,P1,是,第4天,quality_report_v0.1.csv,已落地
量化系统MVP,第1个月第1周,量化研究,QR-W1-01,定股票池过滤规则,量化研究员,已完成,P1,是,第1天,stock_pool_rule_v0.1.md,已检查通过
量化系统MVP,第1个月第1周,量化研究,QR-W1-02,定第 1 周因子公式,量化研究员,已完成,P1,是,第1天,factor_spec_week1.md,已检查通过
量化系统MVP,第1个月第1周,量化研究,QR-W1-03,定标签计算规则,量化研究员,已完成,P1,是,第3天,label_spec_v0.1.md,已检查通过
量化系统MVP,第1个月第1周,量化研究,QR-W1-04,检查因子实现结果,量化研究员,未开始,P0,是,第4天,factor_check_notes.md,等待策略研发输出因子/标签/打分结果
量化系统MVP,第1个月第1周,量化研究,QR-W1-05,定综合打分公式,量化研究员,已完成,P1,是,第4天,score_formula_v0.1.md,已检查；model.yaml 已同步
量化系统MVP,第1个月第1周,基本面事件,FR-W1-01,梳理财务字段来源,基本面/事件研究员,未开始,P1,否,第2天,financial_source_probe.md,项目中未见产物
量化系统MVP,第1个月第1周,基本面事件,FR-W1-02,梳理行业分类来源,基本面/事件研究员,未开始,P1,否,第2天,industry_source_probe.md,项目中未见产物
量化系统MVP,第1个月第1周,基本面事件,FR-W1-03,写财务防未来函数说明,基本面/事件研究员,未开始,P0,是,第3天,financial_no_lookahead_v0.1.md,项目中未见产物
量化系统MVP,第1个月第1周,基本面事件,FR-W1-04,提供行业样例,基本面/事件研究员,未开始,P1,否,第4天,industry_mapping_v0.1.csv,项目中未见产物
量化系统MVP,第1个月第1周,基本面事件,FR-W1-05,明确事件数据暂缓,基本面/事件研究员,未开始,P1,是,第1天,event_defer_note.md,项目中未见产物
量化系统MVP,第1个月第1周,策略研发,SE-W1-01,建因子计算框架,研发工程师,未开始,P0,是,第1天,factor_engine_skeleton,项目中未见产物
量化系统MVP,第1个月第1周,策略研发,SE-W1-02,实现 ret_20d,研发工程师,未开始,P0,是,第2天,feature_factor_value.csv,项目中未见产物
